instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,loop_practice.label,loop_practice.startVal,loop_practice.startValSd,loop_practice.stim_diam_degs,loop_practice.SF,loop_practice.TF,loop_practice.stepSizes,loop_practice.maxVal,loop_practice.minVal,loop_practice.thisIndex,loop_practice.thisRepN,loop_practice.thisN,loop_practice.direction,loop_practice.stepSize,loop_practice.stepType,loop_practice.intensity,loop_practice.response,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,loop_trial.label,loop_trial.startVal,loop_trial.startValSd,loop_trial.stim_diam_degs,loop_trial.SF,loop_trial.TF,loop_trial.stepSizes,loop_trial.maxVal,loop_trial.minVal,loop_trial.thisIndex,loop_trial.thisRepN,loop_trial.thisN,loop_trial.direction,loop_trial.stepSize,loop_trial.stepType,loop_trial.intensity,loop_trial.response,ori,correctAns,resp,resp.rt,thanksMsg.started,thanksMsg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,Gender,Participant,date,expName,psychopyVersion,frameRate,
6.991432656068355,None,space,0.552078619832173,6.991432656068355,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,4,3,start,4,lin,0.16917765722672617,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,5,4,start,4,lin,0.13843364674088682,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,,,,,,,,,,,,,,,,,,35.48345237504691,None,up,0.020104262977838516,35.48345237504691,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,1,0,start,4,lin,0.25,1,90,"['left', 'right']",right,0.6497041850816458,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,2,1,start,4,lin,0.24393288281885755,1,90,"['left', 'right']",right,0.5252432238776237,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_4,0.25,0.2,3.5,1.2,4,"[4, 2, 2, 1]",1,0,0,3,2,start,4,lin,0.20430437229992937,1,90,"['left', 'right']",right,0.5412998551037163,,,,,,,F,20191031092109,2019_Oct_31_0921,contrast_sensitivity_task,3.2.4,59.962056140779985,
